Accelerometer and gyro output
Acce: 0.006500244140625 0.0005340576171875 -0.9956817626953125
Gyro: 0.027816183865070343 0.007742075715214014 0.0006564692012034357
Acce: 0.0064697265625 0.001495361328125 -0.9961395263671875
Gyro: 0.028931250795722008 0.007355917245149612 -0.00030786142451688647
Acce: 0.0058441162109375 0.001312255859375 -0.9964599609375
Gyro: 0.02737676352262497 0.008108260110020638 -0.00041971419705078006
Acce: 0.00640869140625 0.001800537109375 -0.995849609375
Gyro: 0.02744653820991516 0.006804110016673803 -0.0003539340978022665
Acce: 0.00640869140625 0.001800537109375 -0.995849609375
Gyro: 0.02744653820991516 0.006804110016673803 -0.0003539340978022665
Acce: 0.0061187744140625 0.0013427734375 -0.9958953857421875
Gyro: 0.027213778346776962 0.00809201505035162 -0.0003009371866937727
Acce: 0.0060882568359375 0.001861572265625 -0.9954071044921875
Gyro: 0.027582358568906784 0.006385195069015026 0.0002615224220789969
Acce: 0.0072784423828125 0.0009307861328125 -0.9953155517578125
Gyro: 0.027272101491689682 0.00621182331815362 -0.0013454289874061942
Acce: 0.0063629150390625 0.0009765625 -0.9952850341796875
Gyro: 0.02893577702343464 0.007297327741980553 0.0005779059720225632
Acce: 0.006500244140625 0.001220703125 -0.9960784912109375
Gyro: 0.02889343351125717 0.007334345486015081 -0.00020399813365656883
Acce: 0.006500244140625 0.001220703125 -0.9960784912109375
Gyro: 0.02889343351125717 0.007334345486015081 -0.00020399813365656883
Acce: 0.0065155029296875 0.000701904296875 -0.9958953857421875
Gyro: 0.02887692116200924 0.006986270658671856 -0.0009137305896729231
Acce: 0.006866455078125 0.0019378662109375 -0.9948272705078125
Gyro: 0.02714400365948677 0.0073228939436376095 -0.000838895735796541
Acce: 0.006561279296875 0.0020294189453125 -0.9946746826171875
Gyro: 0.027171965688467026 0.006259493995457888 0.0004114583716727793
Acce: 0.0054168701171875 0.0012359619140625 -0.996917724609375
Gyro: 0.028331773355603218 0.007729825098067522 -0.00088976213010028
Acce: 0.0054168701171875 0.0012359619140625 -0.996917724609375
Gyro: 0.028331773355603218 0.007729825098067522 -0.00088976213010028
Acce: 0.006195068359375 0.0018310546875 -0.9947967529296875
Gyro: 0.027893682941794395 0.007411577273160219 -0.0010969560826197267
